SN,File No,Subject,Vote of Charge,Department,Naration,Proposed Amount,Actual Amount,Status,Remarks,Date Sent,Date Approved,Proposed Amount_num,Actual Amount_num,Stage,Pending Value,Aging Days,Aging Bucket
65,CIC/ADC. 1713  (2026),PUBLICATION AND DOCUMENTATION. PLANNING UNIT,Planning Unit Expenses -: 004/04002/01/705/11009/0000/40769,Planning,REQUEST FOR RELEASE OF FUND FOR PURCHASE OF OFFICE CONSUMABLES FOR PLANNING UNIT OF THE MINISTRY,"₦6,860,500.00","₦6,860,500.00",Approved by DG,,09/02/26,19/03/26,6860500.0,6860500.0,DG,0.0,67,60+ days
82,CCTI/ADC. 1692 I     (2026),P.M.B. GENERAL,Servicing of Meetings/ Statutory  -: 004/04002/01/777/11009/0000/40807,Admin/HR,"YEAR 2026 PERSONNEL MANAGEMENT BOARD (PMB) FURTHER STUDIES, EXIT, CONFIRMATION AND CONVERSION (FIRST AND SECOND QUARTER) OF THE MINISTRY OF COMMERCE, COOPERATIVES, TRADE AND INVESTMENT","₦4,899,500.00","₦4,899,500.00",Approved by MEBP,,09/02/26,17/03/26,4899500.0,4899500.0,MEBP,0.0,67,60+ days
109,LASCOPA/PROC/252 T,PROCUREMENT UNIT REQUEST,,LASCOPA,REQUEST FOR APPROVAL OF FUND FOR PROCESSING E-PROCUREMENT DOCUMENTATION,"₦2,909,000.00",₦0.00,Awaiting Approval - MEBP,,09/02/26,01/01/70,2909000.0,0.0,MEBP,2909000.0,67,60+ days
110,CIC/AD. 94 IV    (2026),OFFICE FURNITURE EQUIPMENT,Office Equipment and Renovation -: 004/4002/02/777/11009/6129/45011,Admin/HR,REQUEST FOR FUNDS FOR THE PROCUREMENT OF ESSENTIAL OFFICE EQUIPMENT,"₦74,822,000.00",₦0.00,Awaiting Approval - MEBP,,09/02/26,01/01/70,74822000.0,0.0,MEBP,74822000.0,67,60+ days
132,CIC/AD 697 III    (2026),OFFICE MAINTENANCE,MEPB - Special Grant -: 004/04002/01/701/11009/0000/40848,Admin/HR,PURCHASE OF AUTOMATIVE GAS OIL,"₦20,000,000.00","₦10,000,000.00",Approved by MEBP,,09/02/26,16/03/26,20000000.0,10000000.0,MEBP,10000000.0,67,60+ days
135,CCTI/AD. 2037    (2026),CORRESPONDENCE WITH P.S. OFFICE,Operational Expenses -: 004/04002/01/701/11009/0000/40848,Admin/HR,REIMBURSEMENT OF FUNDS ON ATTENDANCE AND PARTICIPATION AT THE AFRICA SOCIAL IMPACT SUMMIT (ASIS),"₦843,950.00",₦0.00,Awaiting Approval - MEBP,,09/02/26,01/01/70,843950.0,0.0,MEBP,843950.0,67,60+ days
142,CI/IC 1066   (2026),INSPECTORATE & MONITORING DEPARTMENT MATTERS ARISING,Protective Accessories for Factory Inspection  -: 004/04002/01/777/11009/0000/41926,Inspectorate,REQUEST FOR APPROVAL TO INCUR EXPENDITURE FOR COMPLIANCE MONITORING ACTIVITIES OF INSPECTORATE AND MONITORING DEPARTMENT FOR YEAR 2026,"₦20,735,000.00","₦20,734,500.00",Approved by MEBP,,09/02/26,17/02/26,20735000.0,20734500.0,MEBP,500.0,67,60+ days
145,MCIC/ACCTS/1015/F    (2026),FIN & ACCTS MATTERS,Account Dept Expenses -: 004/04002/01/703/11009/0000/40796,Accounts,"REQUEST FOR RELEASE OF FUND FOR SERVICING OF MEETING BY FINANCE AND ACCOUNT DEPARTMENT OF THE MINISTRY OF COMMERCE, COOPERATIVE, TRADE, AND INVESTMENT","₦7,020,000.00","₦7,020,000.00",Approved by MEBP,,09/02/26,17/03/26,7020000.0,7020000.0,MEBP,0.0,67,60+ days
174,CCTI/AD/2029   (2026),P.S. FURNITURE AND EQUIPMENT,Office Equipment and Renovation -: 004/4002/02/777/11009/6129/45011,Admin/HR,"REQUEST FOR THE RELEASE OF FUNDS FOR THE PROCUREMENT OF ESSENTIAL OFFICE FURNITURE AND EQUIPMENT IN THE OFFICE OF THE HONOURABLE COMMISSIONER, OFFICE OF THE PERMANENT SECRETARY AND DIRECTOR ADMIN. & HR OF THE MINISTRY","₦32,514,000.00","₦32,514,000.00",Approved by DG,,09/02/26,09/03/26,32514000.0,32514000.0,DG,0.0,67,60+ days
185,CIC/AD. 1072/08  (2026),AUDIT MATTERS (STAFF AUDIT),Audit Unit Expenses -: 004/04002/01/706/11009/0000/40702,Audit,REQUEST FOR FUNDS FOR AUDITING OF INDUSTRIAL HUBS AND COOPERATIVE AREA OFFICES ON MODALITIES OF REVENUE GENERATION AND CONSUMABLES FOR FIRST AND SECOND QUARTER YEAR 2026,"₦17,946,000.00","₦17,946,000.00",Approved by DG,,09/02/26,09/03/26,17946000.0,17946000.0,DG,0.0,67,60+ days
192,"CCTI/AD, 1144  (2026)",CORRESPONDENCE WITH HONOURABLE COMMISSIONER,Honourable Commissioner Expenses -: 004/04002/01/702/11009/0000/41714,Office of HC,REQUEST FOR PAYMENT OF THE CHARTERED INSTITUTE OF DIRECTORS NIGERIA'S LIFETIME SUBSCRIPTION PACKAGE FOR THE HONOURABLE COMMISSIONER,"₦1,570,000.00","₦1,570,000.00",Approved by DG,,09/02/26,05/03/26,1570000.0,1570000.0,DG,0.0,67,60+ days
